neighbourhood,price
嘉定区 / Jiading District,513.509900990099
奉贤区 / Fengxian District,822.6498194945848
宝山区 / Baoshan District,418.7675507020281
崇明区 / Chongming District,1556.255351681957
徐汇区 / Xuhui District,648.9120130754562
普陀区 / Putuo District,706.1376811594203
杨浦区 / Yangpu District,382.05405405405406
松江区 / Songjiang District,1019.5917207792207
浦东新区 / Pudong,765.8575340491461
虹口区 / Hongkou District,485.1141649048626
金山区 / Jinshan District,694.3519553072625
长宁区 / Changning District,686.5139911634757
闵行区 / Minhang District,604.68321104877
青浦区 / Qingpu District,1159.4916885389325
静安区 / Jing'an District,643.1443343386471
黄浦区 / Huangpu District,714.2646666666667
