neighbourhood,date,total
嘉定区 / Jiading District,Jan,332
嘉定区 / Jiading District,Feb,158
嘉定区 / Jiading District,Mar,211
嘉定区 / Jiading District,Apr,295
嘉定区 / Jiading District,May,331
嘉定区 / Jiading District,Jun,284
嘉定区 / Jiading District,Jul,391
嘉定区 / Jiading District,Aug,459
嘉定区 / Jiading District,Sep,409
嘉定区 / Jiading District,Oct,499
嘉定区 / Jiading District,Nov,370
嘉定区 / Jiading District,Dec,335
奉贤区 / Fengxian District,Jan,54
奉贤区 / Fengxian District,Feb,24
奉贤区 / Fengxian District,Mar,25
奉贤区 / Fengxian District,Apr,45
奉贤区 / Fengxian District,May,63
奉贤区 / Fengxian District,Jun,59
奉贤区 / Fengxian District,Jul,66
奉贤区 / Fengxian District,Aug,100
奉贤区 / Fengxian District,Sep,96
奉贤区 / Fengxian District,Oct,121
奉贤区 / Fengxian District,Nov,57
奉贤区 / Fengxian District,Dec,107
宝山区 / Baoshan District,Jan,264
宝山区 / Baoshan District,Feb,156
宝山区 / Baoshan District,Mar,188
宝山区 / Baoshan District,Apr,210
宝山区 / Baoshan District,May,259
宝山区 / Baoshan District,Jun,239
宝山区 / Baoshan District,Jul,282
宝山区 / Baoshan District,Aug,324
宝山区 / Baoshan District,Sep,282
宝山区 / Baoshan District,Oct,358
宝山区 / Baoshan District,Nov,294
宝山区 / Baoshan District,Dec,413
崇明区 / Chongming District,Jan,272
崇明区 / Chongming District,Feb,232
崇明区 / Chongming District,Mar,159
崇明区 / Chongming District,Apr,356
崇明区 / Chongming District,May,501
崇明区 / Chongming District,Jun,387
崇明区 / Chongming District,Jul,433
崇明区 / Chongming District,Aug,474
崇明区 / Chongming District,Sep,378
崇明区 / Chongming District,Oct,696
崇明区 / Chongming District,Nov,303
崇明区 / Chongming District,Dec,284
徐汇区 / Xuhui District,Jan,3686
徐汇区 / Xuhui District,Feb,1806
徐汇区 / Xuhui District,Mar,2019
徐汇区 / Xuhui District,Apr,2641
徐汇区 / Xuhui District,May,3184
徐汇区 / Xuhui District,Jun,3345
徐汇区 / Xuhui District,Jul,3829
徐汇区 / Xuhui District,Aug,4443
徐汇区 / Xuhui District,Sep,4038
徐汇区 / Xuhui District,Oct,4677
徐汇区 / Xuhui District,Nov,3754
徐汇区 / Xuhui District,Dec,4372
普陀区 / Putuo District,Jan,516
普陀区 / Putuo District,Feb,252
普陀区 / Putuo District,Mar,352
普陀区 / Putuo District,Apr,400
普陀区 / Putuo District,May,491
普陀区 / Putuo District,Jun,520
普陀区 / Putuo District,Jul,595
普陀区 / Putuo District,Aug,645
普陀区 / Putuo District,Sep,559
普陀区 / Putuo District,Oct,757
普陀区 / Putuo District,Nov,573
普陀区 / Putuo District,Dec,571
杨浦区 / Yangpu District,Jan,660
杨浦区 / Yangpu District,Feb,360
杨浦区 / Yangpu District,Mar,481
杨浦区 / Yangpu District,Apr,543
杨浦区 / Yangpu District,May,617
杨浦区 / Yangpu District,Jun,668
杨浦区 / Yangpu District,Jul,596
杨浦区 / Yangpu District,Aug,817
杨浦区 / Yangpu District,Sep,751
杨浦区 / Yangpu District,Oct,856
杨浦区 / Yangpu District,Nov,660
杨浦区 / Yangpu District,Dec,732
松江区 / Songjiang District,Jan,733
松江区 / Songjiang District,Feb,285
松江区 / Songjiang District,Mar,393
松江区 / Songjiang District,Apr,618
松江区 / Songjiang District,May,676
松江区 / Songjiang District,Jun,687
松江区 / Songjiang District,Jul,776
松江区 / Songjiang District,Aug,920
松江区 / Songjiang District,Sep,864
松江区 / Songjiang District,Oct,1133
松江区 / Songjiang District,Nov,870
松江区 / Songjiang District,Dec,911
浦东新区 / Pudong,Jan,10234
浦东新区 / Pudong,Feb,4400
浦东新区 / Pudong,Mar,4674
浦东新区 / Pudong,Apr,6145
浦东新区 / Pudong,May,8374
浦东新区 / Pudong,Jun,12679
浦东新区 / Pudong,Jul,12925
浦东新区 / Pudong,Aug,14375
浦东新区 / Pudong,Sep,12975
浦东新区 / Pudong,Oct,15072
浦东新区 / Pudong,Nov,11055
浦东新区 / Pudong,Dec,12640
虹口区 / Hongkou District,Jan,1243
虹口区 / Hongkou District,Feb,650
虹口区 / Hongkou District,Mar,751
虹口区 / Hongkou District,Apr,911
虹口区 / Hongkou District,May,991
虹口区 / Hongkou District,Jun,1104
虹口区 / Hongkou District,Jul,1218
虹口区 / Hongkou District,Aug,1478
虹口区 / Hongkou District,Sep,1460
虹口区 / Hongkou District,Oct,1659
虹口区 / Hongkou District,Nov,1455
虹口区 / Hongkou District,Dec,1456
金山区 / Jinshan District,Jan,25
金山区 / Jinshan District,Feb,17
金山区 / Jinshan District,Mar,7
金山区 / Jinshan District,Apr,19
金山区 / Jinshan District,May,29
金山区 / Jinshan District,Jun,29
金山区 / Jinshan District,Jul,50
金山区 / Jinshan District,Aug,39
金山区 / Jinshan District,Sep,40
金山区 / Jinshan District,Oct,79
金山区 / Jinshan District,Nov,29
金山区 / Jinshan District,Dec,49
长宁区 / Changning District,Jan,1082
长宁区 / Changning District,Feb,501
长宁区 / Changning District,Mar,519
长宁区 / Changning District,Apr,781
长宁区 / Changning District,May,889
长宁区 / Changning District,Jun,954
长宁区 / Changning District,Jul,1168
长宁区 / Changning District,Aug,1186
长宁区 / Changning District,Sep,1122
长宁区 / Changning District,Oct,1351
长宁区 / Changning District,Nov,1111
长宁区 / Changning District,Dec,1182
闵行区 / Minhang District,Jan,683
闵行区 / Minhang District,Feb,296
闵行区 / Minhang District,Mar,360
闵行区 / Minhang District,Apr,486
闵行区 / Minhang District,May,582
闵行区 / Minhang District,Jun,613
闵行区 / Minhang District,Jul,786
闵行区 / Minhang District,Aug,932
闵行区 / Minhang District,Sep,812
闵行区 / Minhang District,Oct,1071
闵行区 / Minhang District,Nov,805
闵行区 / Minhang District,Dec,885
青浦区 / Qingpu District,Jan,396
青浦区 / Qingpu District,Feb,205
青浦区 / Qingpu District,Mar,152
青浦区 / Qingpu District,Apr,290
青浦区 / Qingpu District,May,457
青浦区 / Qingpu District,Jun,378
青浦区 / Qingpu District,Jul,520
青浦区 / Qingpu District,Aug,631
青浦区 / Qingpu District,Sep,396
青浦区 / Qingpu District,Oct,665
青浦区 / Qingpu District,Nov,429
青浦区 / Qingpu District,Dec,560
静安区 / Jing'an District,Jan,3081
静安区 / Jing'an District,Feb,1462
静安区 / Jing'an District,Mar,1600
静安区 / Jing'an District,Apr,2171
静安区 / Jing'an District,May,2430
静安区 / Jing'an District,Jun,2569
静安区 / Jing'an District,Jul,3085
静安区 / Jing'an District,Aug,3728
静安区 / Jing'an District,Sep,3305
静安区 / Jing'an District,Oct,3854
静安区 / Jing'an District,Nov,3098
静安区 / Jing'an District,Dec,3433
黄浦区 / Huangpu District,Jan,6607
黄浦区 / Huangpu District,Feb,3056
黄浦区 / Huangpu District,Mar,3183
黄浦区 / Huangpu District,Apr,4144
黄浦区 / Huangpu District,May,4881
黄浦区 / Huangpu District,Jun,5709
黄浦区 / Huangpu District,Jul,6711
黄浦区 / Huangpu District,Aug,7876
黄浦区 / Huangpu District,Sep,7113
黄浦区 / Huangpu District,Oct,8126
黄浦区 / Huangpu District,Nov,6984
黄浦区 / Huangpu District,Dec,7717
