neighbourhood,Average,maximum,minimum,Entire,Private,Shared,reviews
东城区,998.3545647558386,99999,48,132,303,36,1.2484294871794865
丰台区 / Fengtai,689.5897887323944,65466,0,1261,377,66,0.6774550898203593
大兴区 / Daxing,615.0964660936007,30000,64,805,216,26,0.4412271062271059
密云县 / Miyun,1181.4765625,70000,65,1305,598,17,0.39286422200198234
平谷区 / Pinggu,1831.62,15000,0,152,96,2,0.3280612244897959
延庆县 / Yanqing,1715.5634517766498,29249,84,1283,878,6,0.310185614849188
怀柔区 / Huairou,1900.5979843225084,23744,93,883,899,4,0.3536408364083641
房山区,939.6950578338591,15000,66,614,328,9,0.4428888888888885
昌平区,1262.0440729483282,66666,66,689,584,43,0.48239831697054675
朝阳区 / Chaoyang,679.4728372811535,69000,0,4617,2612,539,0.7235950782997719
海淀区,507722.6277890467,999999999,65,1026,757,189,0.549799196787149
石景山区,560.3687315634219,9999,75,239,93,7,0.6354395604395606
西城区,849.746192893401,26534,128,205,186,3,0.802647058823529
通州区 / Tongzhou,546.5623229461756,33658,1,965,408,39,0.45879765395894373
门头沟区 / Mentougou,1353.9130434782608,18174,76,203,92,4,0.3653472222222224
顺义区 / Shunyi,865.0024390243902,60000,66,925,288,17,0.4284087363494538
